,onset,duration,amplitude
0,0.0,2.0,-0.020512820512820513
1,2.0,2.0,-0.020512820512820513
2,4.0,2.0,-0.020512820512820513
3,6.0,2.0,-0.020512820512820513
4,8.0,2.0,-0.020512820512820513
5,10.0,2.0,-0.020512820512820513
6,12.0,2.0,-0.020512820512820513
7,14.0,2.0,-0.020512820512820513
8,16.0,2.0,-0.020512820512820513
9,18.0,2.0,-0.020512820512820513
10,20.0,2.0,-0.020512820512820513
11,22.0,2.0,-0.020512820512820513
12,24.0,2.0,-0.020512820512820513
13,26.0,2.0,-0.020512820512820513
14,28.0,2.0,-0.020512820512820513
15,30.0,2.0,-0.020512820512820513
16,32.0,2.0,-0.020512820512820513
17,34.0,2.0,-0.020512820512820513
18,36.0,2.0,-0.020512820512820513
19,38.0,2.0,-0.020512820512820513
20,40.0,2.0,-0.020512820512820513
21,42.0,2.0,-0.020512820512820513
22,44.0,2.0,-0.020512820512820513
23,46.0,2.0,-0.020512820512820513
24,48.0,2.0,-0.020512820512820513
25,50.0,2.0,-0.020512820512820513
26,52.0,2.0,0.9794871794871794
27,54.0,2.0,-0.020512820512820513
28,56.0,2.0,-0.020512820512820513
29,58.0,2.0,-0.020512820512820513
30,60.0,2.0,-0.020512820512820513
31,62.0,2.0,-0.020512820512820513
32,64.0,2.0,-0.020512820512820513
33,66.0,2.0,-0.020512820512820513
34,68.0,2.0,-0.020512820512820513
35,70.0,2.0,-0.020512820512820513
36,72.0,2.0,-0.020512820512820513
37,74.0,2.0,-0.020512820512820513
38,76.0,2.0,-0.020512820512820513
39,78.0,2.0,-0.020512820512820513
40,80.0,2.0,-0.020512820512820513
41,82.0,2.0,-0.020512820512820513
42,84.0,2.0,-0.020512820512820513
43,86.0,2.0,-0.020512820512820513
44,88.0,2.0,-0.020512820512820513
45,90.0,2.0,-0.020512820512820513
46,92.0,2.0,-0.020512820512820513
47,94.0,2.0,-0.020512820512820513
48,96.0,2.0,-0.020512820512820513
49,98.0,2.0,-0.020512820512820513
50,100.0,2.0,-0.020512820512820513
51,102.0,2.0,-0.020512820512820513
52,104.0,2.0,-0.020512820512820513
53,106.0,2.0,-0.020512820512820513
54,108.0,2.0,-0.020512820512820513
55,110.0,2.0,-0.020512820512820513
56,112.0,2.0,-0.020512820512820513
57,114.0,2.0,-0.020512820512820513
58,116.0,2.0,-0.020512820512820513
59,118.0,2.0,-0.020512820512820513
60,120.0,2.0,-0.020512820512820513
61,122.0,2.0,-0.020512820512820513
62,124.0,2.0,-0.020512820512820513
63,126.0,2.0,-0.020512820512820513
64,128.0,2.0,-0.020512820512820513
65,130.0,2.0,-0.020512820512820513
66,132.0,2.0,-0.020512820512820513
67,134.0,2.0,-0.020512820512820513
68,136.0,2.0,-0.020512820512820513
69,138.0,2.0,-0.020512820512820513
70,140.0,2.0,-0.020512820512820513
71,142.0,2.0,0.9794871794871794
72,144.0,2.0,-0.020512820512820513
73,146.0,2.0,-0.020512820512820513
74,148.0,2.0,-0.020512820512820513
75,150.0,2.0,-0.020512820512820513
76,152.0,2.0,-0.020512820512820513
77,154.0,2.0,-0.020512820512820513
78,156.0,2.0,-0.020512820512820513
79,158.0,2.0,-0.020512820512820513
80,160.0,2.0,-0.020512820512820513
81,162.0,2.0,-0.020512820512820513
82,164.0,2.0,-0.020512820512820513
83,166.0,2.0,-0.020512820512820513
84,168.0,2.0,-0.020512820512820513
85,170.0,2.0,-0.020512820512820513
86,172.0,2.0,-0.020512820512820513
87,174.0,2.0,-0.020512820512820513
88,176.0,2.0,-0.020512820512820513
89,178.0,2.0,-0.020512820512820513
90,180.0,2.0,-0.020512820512820513
91,182.0,2.0,-0.020512820512820513
92,184.0,2.0,-0.020512820512820513
93,186.0,2.0,-0.020512820512820513
94,188.0,2.0,-0.020512820512820513
95,190.0,2.0,-0.020512820512820513
96,192.0,2.0,-0.020512820512820513
97,194.0,2.0,-0.020512820512820513
98,196.0,2.0,-0.020512820512820513
99,198.0,2.0,0.9794871794871794
100,200.0,2.0,-0.020512820512820513
101,202.0,2.0,-0.020512820512820513
102,204.0,2.0,-0.020512820512820513
103,206.0,2.0,-0.020512820512820513
104,208.0,2.0,-0.020512820512820513
105,210.0,2.0,-0.020512820512820513
106,212.0,2.0,-0.020512820512820513
107,214.0,2.0,-0.020512820512820513
108,216.0,2.0,-0.020512820512820513
109,218.0,2.0,-0.020512820512820513
110,220.0,2.0,-0.020512820512820513
111,222.0,2.0,-0.020512820512820513
112,224.0,2.0,-0.020512820512820513
113,226.0,2.0,-0.020512820512820513
114,228.0,2.0,-0.020512820512820513
115,230.0,2.0,-0.020512820512820513
116,232.0,2.0,-0.020512820512820513
117,234.0,2.0,-0.020512820512820513
118,236.0,2.0,-0.020512820512820513
119,238.0,2.0,-0.020512820512820513
120,240.0,2.0,-0.020512820512820513
121,242.0,2.0,-0.020512820512820513
122,244.0,2.0,-0.020512820512820513
123,246.0,2.0,-0.020512820512820513
124,248.0,2.0,-0.020512820512820513
125,250.0,2.0,-0.020512820512820513
126,252.0,2.0,-0.020512820512820513
127,254.0,2.0,-0.020512820512820513
128,256.0,2.0,-0.020512820512820513
129,258.0,2.0,-0.020512820512820513
130,260.0,2.0,-0.020512820512820513
131,262.0,2.0,-0.020512820512820513
132,264.0,2.0,-0.020512820512820513
133,266.0,2.0,-0.020512820512820513
134,268.0,2.0,-0.020512820512820513
135,270.0,2.0,-0.020512820512820513
136,272.0,2.0,-0.020512820512820513
137,274.0,2.0,-0.020512820512820513
138,276.0,2.0,-0.020512820512820513
139,278.0,2.0,-0.020512820512820513
140,280.0,2.0,-0.020512820512820513
141,282.0,2.0,-0.020512820512820513
142,284.0,2.0,-0.020512820512820513
143,286.0,2.0,-0.020512820512820513
144,288.0,2.0,-0.020512820512820513
145,290.0,2.0,-0.020512820512820513
146,292.0,2.0,-0.020512820512820513
147,294.0,2.0,-0.020512820512820513
148,296.0,2.0,-0.020512820512820513
149,298.0,2.0,-0.020512820512820513
150,300.0,2.0,-0.020512820512820513
151,302.0,2.0,-0.020512820512820513
152,304.0,2.0,-0.020512820512820513
153,306.0,2.0,-0.020512820512820513
154,308.0,2.0,-0.020512820512820513
155,310.0,2.0,-0.020512820512820513
156,312.0,2.0,-0.020512820512820513
157,314.0,2.0,-0.020512820512820513
158,316.0,2.0,-0.020512820512820513
159,318.0,2.0,-0.020512820512820513
160,320.0,2.0,-0.020512820512820513
161,322.0,2.0,-0.020512820512820513
162,324.0,2.0,-0.020512820512820513
163,326.0,2.0,-0.020512820512820513
164,328.0,2.0,-0.020512820512820513
165,330.0,2.0,-0.020512820512820513
166,332.0,2.0,-0.020512820512820513
167,334.0,2.0,-0.020512820512820513
168,336.0,2.0,-0.020512820512820513
169,338.0,2.0,-0.020512820512820513
170,340.0,2.0,-0.020512820512820513
171,342.0,2.0,-0.020512820512820513
172,344.0,2.0,-0.020512820512820513
173,346.0,2.0,-0.020512820512820513
174,348.0,2.0,-0.020512820512820513
175,350.0,2.0,-0.020512820512820513
176,352.0,2.0,-0.020512820512820513
177,354.0,2.0,-0.020512820512820513
178,356.0,2.0,-0.020512820512820513
179,358.0,2.0,-0.020512820512820513
180,360.0,2.0,-0.020512820512820513
181,362.0,2.0,-0.020512820512820513
182,364.0,2.0,-0.020512820512820513
183,366.0,2.0,-0.020512820512820513
184,368.0,2.0,-0.020512820512820513
185,370.0,2.0,-0.020512820512820513
186,372.0,2.0,-0.020512820512820513
187,374.0,2.0,-0.020512820512820513
188,376.0,2.0,-0.020512820512820513
189,378.0,2.0,-0.020512820512820513
190,380.0,2.0,-0.020512820512820513
191,382.0,2.0,-0.020512820512820513
192,384.0,2.0,-0.020512820512820513
193,386.0,2.0,-0.020512820512820513
194,388.0,2.0,-0.020512820512820513
195,390.0,2.0,-0.020512820512820513
196,392.0,2.0,-0.020512820512820513
197,394.0,2.0,-0.020512820512820513
198,396.0,2.0,-0.020512820512820513
199,398.0,2.0,-0.020512820512820513
200,400.0,2.0,0.9794871794871794
201,402.0,2.0,-0.020512820512820513
202,404.0,2.0,-0.020512820512820513
203,406.0,2.0,-0.020512820512820513
204,408.0,2.0,-0.020512820512820513
205,410.0,2.0,-0.020512820512820513
206,412.0,2.0,-0.020512820512820513
207,414.0,2.0,-0.020512820512820513
208,416.0,2.0,-0.020512820512820513
209,418.0,2.0,-0.020512820512820513
210,420.0,2.0,-0.020512820512820513
211,422.0,2.0,-0.020512820512820513
212,424.0,2.0,-0.020512820512820513
213,426.0,2.0,-0.020512820512820513
214,428.0,2.0,-0.020512820512820513
215,430.0,2.0,-0.020512820512820513
216,432.0,2.0,-0.020512820512820513
217,434.0,2.0,-0.020512820512820513
218,436.0,2.0,-0.020512820512820513
219,438.0,2.0,-0.020512820512820513
