,onset,duration,amplitude
0,0.0,2.0,-0.04871794871794872
1,2.0,2.0,-0.04871794871794872
2,4.0,2.0,-0.04871794871794872
3,6.0,2.0,-0.04871794871794872
4,8.0,2.0,-0.04871794871794872
5,10.0,2.0,-0.04871794871794872
6,12.0,2.0,-0.04871794871794872
7,14.0,2.0,-0.04871794871794872
8,16.0,2.0,-0.04871794871794872
9,18.0,2.0,-0.04871794871794872
10,20.0,2.0,-0.04871794871794872
11,22.0,2.0,-0.04871794871794872
12,24.0,2.0,-0.04871794871794872
13,26.0,2.0,-0.04871794871794872
14,28.0,2.0,-0.04871794871794872
15,30.0,2.0,-0.04871794871794872
16,32.0,2.0,-0.04871794871794872
17,34.0,2.0,-0.04871794871794872
18,36.0,2.0,-0.04871794871794872
19,38.0,2.0,-0.04871794871794872
20,40.0,2.0,-0.04871794871794872
21,42.0,2.0,-0.04871794871794872
22,44.0,2.0,-0.04871794871794872
23,46.0,2.0,-0.04871794871794872
24,48.0,2.0,-0.04871794871794872
25,50.0,2.0,-0.04871794871794872
26,52.0,2.0,-0.04871794871794872
27,54.0,2.0,-0.04871794871794872
28,56.0,2.0,0.9512820512820512
29,58.0,2.0,-0.04871794871794872
30,60.0,2.0,-0.04871794871794872
31,62.0,2.0,-0.04871794871794872
32,64.0,2.0,-0.04871794871794872
33,66.0,2.0,-0.04871794871794872
34,68.0,2.0,0.9512820512820512
35,70.0,2.0,-0.04871794871794872
36,72.0,2.0,-0.04871794871794872
37,74.0,2.0,-0.04871794871794872
38,76.0,2.0,-0.04871794871794872
39,78.0,2.0,-0.04871794871794872
40,80.0,2.0,-0.04871794871794872
41,82.0,2.0,-0.04871794871794872
42,84.0,2.0,-0.04871794871794872
43,86.0,2.0,-0.04871794871794872
44,88.0,2.0,-0.04871794871794872
45,90.0,2.0,-0.04871794871794872
46,92.0,2.0,-0.04871794871794872
47,94.0,2.0,-0.04871794871794872
48,96.0,2.0,-0.04871794871794872
49,98.0,2.0,-0.04871794871794872
50,100.0,2.0,0.9512820512820512
51,102.0,2.0,-0.04871794871794872
52,104.0,2.0,-0.04871794871794872
53,106.0,2.0,-0.04871794871794872
54,108.0,2.0,-0.04871794871794872
55,110.0,2.0,-0.04871794871794872
56,112.0,2.0,-0.04871794871794872
57,114.0,2.0,-0.04871794871794872
58,116.0,2.0,-0.04871794871794872
59,118.0,2.0,-0.04871794871794872
60,120.0,2.0,-0.04871794871794872
61,122.0,2.0,-0.04871794871794872
62,124.0,2.0,-0.04871794871794872
63,126.0,2.0,-0.04871794871794872
64,128.0,2.0,0.9512820512820512
65,130.0,2.0,-0.04871794871794872
66,132.0,2.0,-0.04871794871794872
67,134.0,2.0,-0.04871794871794872
68,136.0,2.0,-0.04871794871794872
69,138.0,2.0,-0.04871794871794872
70,140.0,2.0,-0.04871794871794872
71,142.0,2.0,-0.04871794871794872
72,144.0,2.0,-0.04871794871794872
73,146.0,2.0,0.9512820512820512
74,148.0,2.0,-0.04871794871794872
75,150.0,2.0,-0.04871794871794872
76,152.0,2.0,-0.04871794871794872
77,154.0,2.0,-0.04871794871794872
78,156.0,2.0,-0.04871794871794872
79,158.0,2.0,-0.04871794871794872
80,160.0,2.0,-0.04871794871794872
81,162.0,2.0,-0.04871794871794872
82,164.0,2.0,-0.04871794871794872
83,166.0,2.0,-0.04871794871794872
84,168.0,2.0,0.9512820512820512
85,170.0,2.0,-0.04871794871794872
86,172.0,2.0,-0.04871794871794872
87,174.0,2.0,-0.04871794871794872
88,176.0,2.0,-0.04871794871794872
89,178.0,2.0,-0.04871794871794872
90,180.0,2.0,-0.04871794871794872
91,182.0,2.0,-0.04871794871794872
92,184.0,2.0,-0.04871794871794872
93,186.0,2.0,-0.04871794871794872
94,188.0,2.0,-0.04871794871794872
95,190.0,2.0,-0.04871794871794872
96,192.0,2.0,-0.04871794871794872
97,194.0,2.0,-0.04871794871794872
98,196.0,2.0,-0.04871794871794872
99,198.0,2.0,-0.04871794871794872
100,200.0,2.0,-0.04871794871794872
101,202.0,2.0,0.9512820512820512
102,204.0,2.0,-0.04871794871794872
103,206.0,2.0,-0.04871794871794872
104,208.0,2.0,-0.04871794871794872
105,210.0,2.0,-0.04871794871794872
106,212.0,2.0,0.9512820512820512
107,214.0,2.0,-0.04871794871794872
108,216.0,2.0,-0.04871794871794872
109,218.0,2.0,-0.04871794871794872
110,220.0,2.0,-0.04871794871794872
111,222.0,2.0,-0.04871794871794872
112,224.0,2.0,-0.04871794871794872
113,226.0,2.0,-0.04871794871794872
114,228.0,2.0,-0.04871794871794872
115,230.0,2.0,-0.04871794871794872
116,232.0,2.0,-0.04871794871794872
117,234.0,2.0,-0.04871794871794872
118,236.0,2.0,0.9512820512820512
119,238.0,2.0,-0.04871794871794872
120,240.0,2.0,-0.04871794871794872
121,242.0,2.0,-0.04871794871794872
122,244.0,2.0,-0.04871794871794872
123,246.0,2.0,-0.04871794871794872
124,248.0,2.0,-0.04871794871794872
125,250.0,2.0,-0.04871794871794872
126,252.0,2.0,-0.04871794871794872
127,254.0,2.0,-0.04871794871794872
128,256.0,2.0,-0.04871794871794872
129,258.0,2.0,-0.04871794871794872
130,260.0,2.0,-0.04871794871794872
131,262.0,2.0,0.9512820512820512
132,264.0,2.0,-0.04871794871794872
133,266.0,2.0,-0.04871794871794872
134,268.0,2.0,-0.04871794871794872
135,270.0,2.0,-0.04871794871794872
136,272.0,2.0,-0.04871794871794872
137,274.0,2.0,-0.04871794871794872
138,276.0,2.0,-0.04871794871794872
139,278.0,2.0,-0.04871794871794872
140,280.0,2.0,-0.04871794871794872
141,282.0,2.0,-0.04871794871794872
142,284.0,2.0,-0.04871794871794872
143,286.0,2.0,-0.04871794871794872
144,288.0,2.0,0.9512820512820512
145,290.0,2.0,-0.04871794871794872
146,292.0,2.0,-0.04871794871794872
147,294.0,2.0,-0.04871794871794872
148,296.0,2.0,-0.04871794871794872
149,298.0,2.0,-0.04871794871794872
150,300.0,2.0,-0.04871794871794872
151,302.0,2.0,-0.04871794871794872
152,304.0,2.0,-0.04871794871794872
153,306.0,2.0,-0.04871794871794872
154,308.0,2.0,-0.04871794871794872
155,310.0,2.0,-0.04871794871794872
156,312.0,2.0,-0.04871794871794872
157,314.0,2.0,-0.04871794871794872
158,316.0,2.0,-0.04871794871794872
159,318.0,2.0,-0.04871794871794872
160,320.0,2.0,-0.04871794871794872
161,322.0,2.0,0.9512820512820512
162,324.0,2.0,-0.04871794871794872
163,326.0,2.0,-0.04871794871794872
164,328.0,2.0,-0.04871794871794872
165,330.0,2.0,-0.04871794871794872
166,332.0,2.0,-0.04871794871794872
167,334.0,2.0,-0.04871794871794872
168,336.0,2.0,-0.04871794871794872
169,338.0,2.0,-0.04871794871794872
170,340.0,2.0,-0.04871794871794872
171,342.0,2.0,-0.04871794871794872
172,344.0,2.0,-0.04871794871794872
173,346.0,2.0,-0.04871794871794872
174,348.0,2.0,-0.04871794871794872
175,350.0,2.0,-0.04871794871794872
176,352.0,2.0,-0.04871794871794872
177,354.0,2.0,-0.04871794871794872
178,356.0,2.0,-0.04871794871794872
179,358.0,2.0,-0.04871794871794872
180,360.0,2.0,-0.04871794871794872
181,362.0,2.0,-0.04871794871794872
182,364.0,2.0,-0.04871794871794872
183,366.0,2.0,-0.04871794871794872
184,368.0,2.0,-0.04871794871794872
185,370.0,2.0,-0.04871794871794872
186,372.0,2.0,-0.04871794871794872
187,374.0,2.0,-0.04871794871794872
188,376.0,2.0,-0.04871794871794872
189,378.0,2.0,-0.04871794871794872
190,380.0,2.0,-0.04871794871794872
191,382.0,2.0,-0.04871794871794872
192,384.0,2.0,-0.04871794871794872
193,386.0,2.0,-0.04871794871794872
194,388.0,2.0,-0.04871794871794872
195,390.0,2.0,-0.04871794871794872
196,392.0,2.0,-0.04871794871794872
197,394.0,2.0,-0.04871794871794872
198,396.0,2.0,-0.04871794871794872
199,398.0,2.0,-0.04871794871794872
200,400.0,2.0,-0.04871794871794872
201,402.0,2.0,-0.04871794871794872
202,404.0,2.0,0.9512820512820512
203,406.0,2.0,-0.04871794871794872
204,408.0,2.0,-0.04871794871794872
205,410.0,2.0,-0.04871794871794872
206,412.0,2.0,-0.04871794871794872
207,414.0,2.0,-0.04871794871794872
208,416.0,2.0,-0.04871794871794872
209,418.0,2.0,-0.04871794871794872
210,420.0,2.0,-0.04871794871794872
211,422.0,2.0,-0.04871794871794872
212,424.0,2.0,-0.04871794871794872
213,426.0,2.0,-0.04871794871794872
214,428.0,2.0,-0.04871794871794872
215,430.0,2.0,-0.04871794871794872
216,432.0,2.0,-0.04871794871794872
217,434.0,2.0,0.9512820512820512
218,436.0,2.0,-0.04871794871794872
219,438.0,2.0,-0.04871794871794872
220,440.0,2.0,-0.04871794871794872
221,442.0,2.0,-0.04871794871794872
222,444.0,2.0,-0.04871794871794872
223,446.0,2.0,-0.04871794871794872
224,448.0,2.0,-0.04871794871794872
225,450.0,2.0,-0.04871794871794872
226,452.0,2.0,-0.04871794871794872
227,454.0,2.0,-0.04871794871794872
228,456.0,2.0,-0.04871794871794872
229,458.0,2.0,-0.04871794871794872
230,460.0,2.0,-0.04871794871794872
231,462.0,2.0,-0.04871794871794872
232,464.0,2.0,-0.04871794871794872
233,466.0,2.0,-0.04871794871794872
234,468.0,2.0,-0.04871794871794872
235,470.0,2.0,-0.04871794871794872
236,472.0,2.0,-0.04871794871794872
237,474.0,2.0,-0.04871794871794872
238,476.0,2.0,-0.04871794871794872
239,478.0,2.0,-0.04871794871794872
240,480.0,2.0,-0.04871794871794872
241,482.0,2.0,-0.04871794871794872
242,484.0,2.0,-0.04871794871794872
243,486.0,2.0,-0.04871794871794872
244,488.0,2.0,-0.04871794871794872
245,490.0,2.0,-0.04871794871794872
246,492.0,2.0,-0.04871794871794872
247,494.0,2.0,0.9512820512820512
248,496.0,2.0,-0.04871794871794872
249,498.0,2.0,-0.04871794871794872
250,500.0,2.0,-0.04871794871794872
251,502.0,2.0,-0.04871794871794872
252,504.0,2.0,-0.04871794871794872
253,506.0,2.0,-0.04871794871794872
254,508.0,2.0,-0.04871794871794872
255,510.0,2.0,-0.04871794871794872
256,512.0,2.0,-0.04871794871794872
257,514.0,2.0,-0.04871794871794872
258,516.0,2.0,-0.04871794871794872
259,518.0,2.0,-0.04871794871794872
260,520.0,2.0,-0.04871794871794872
261,522.0,2.0,-0.04871794871794872
262,524.0,2.0,-0.04871794871794872
263,526.0,2.0,-0.04871794871794872
264,528.0,2.0,-0.04871794871794872
265,530.0,2.0,-0.04871794871794872
266,532.0,2.0,-0.04871794871794872
267,534.0,2.0,-0.04871794871794872
268,536.0,2.0,-0.04871794871794872
269,538.0,2.0,-0.04871794871794872
