,presence/absence of delayed_scene_cuts
278,-0.02051282051282055
279,-0.02051282051282055
280,-0.02051282051282055
281,-0.02051282051282055
282,-0.02051282051282055
283,-0.02051282051282055
284,-0.02051282051282055
285,-0.02051282051282055
286,-0.02051282051282055
287,-0.02051282051282055
288,-0.02051282051282055
289,-0.02051282051282055
290,-0.02051282051282055
291,-0.02051282051282055
292,-0.02051282051282055
293,-0.02051282051282055
294,-0.02051282051282055
295,-0.02051282051282055
296,-0.02051282051282055
297,-0.02051282051282055
298,-0.02051282051282055
299,-0.02051282051282055
300,-0.02051282051282055
301,-0.02051282051282055
302,-0.02051282051282055
303,-0.02051282051282055
304,-0.02051282051282055
305,-0.0013824685306682485
306,0.21546204299062405
307,0.38724003118021255
308,0.28467776397810884
309,0.12117757373694983
310,0.014461428303098902
311,-0.037786692245905834
312,-0.056187352917767386
313,-0.055379450391950344
314,-0.046309710642244206
315,-0.03639729774407231
316,-0.029000986082262554
317,-0.0245521832079603
318,-0.022256598251993463
319,-0.021205413136216728
320,-0.020765815243081596
321,-0.02051282051282055
322,-0.02051282051282055
323,-0.02051282051282055
324,-0.02051282051282055
325,-0.02051282051282055
326,-0.02051282051282055
327,-0.02051282051282055
328,-0.02051282051282055
329,-0.02051282051282055
330,-0.02051282051282055
331,-0.0013824685306682485
332,0.21546204299062405
333,0.38724003118021255
334,0.28467776397810884
335,0.12117757373694983
336,0.014461428303098902
337,-0.037786692245905834
338,-0.056187352917767386
339,-0.055379450391950344
340,-0.046309710642244206
341,-0.03639729774407231
342,-0.029000986082262554
343,-0.0245521832079603
344,-0.022256598251993463
345,-0.021205413136216728
346,-0.020765815243081596
347,-0.02051282051282055
348,-0.02051282051282055
349,-0.02051282051282055
350,-0.02051282051282055
351,-0.02051282051282055
352,-0.02051282051282055
353,-0.02051282051282055
354,-0.02051282051282055
355,-0.02051282051282055
356,-0.02051282051282055
357,-0.02051282051282055
358,-0.02051282051282055
359,-0.0013824685306682485
360,0.21546204299062405
361,0.38724003118021255
362,0.28467776397810884
363,0.12117757373694983
364,0.014461428303098902
365,-0.037786692245905834
366,-0.056187352917767386
367,-0.055379450391950344
368,-0.046309710642244206
369,-0.03639729774407231
370,-0.029000986082262554
371,-0.0245521832079603
372,-0.022256598251993463
373,-0.021205413136216728
374,-0.020765815243081596
375,-0.02051282051282055
376,-0.02051282051282055
377,-0.02051282051282055
378,-0.02051282051282055
379,-0.02051282051282055
380,-0.02051282051282055
381,-0.02051282051282055
382,-0.02051282051282055
383,-0.02051282051282055
384,-0.02051282051282055
385,-0.02051282051282055
386,-0.02051282051282055
387,-0.02051282051282055
388,-0.02051282051282055
