Clip_Filename,Average_Motion_Energy
clip000.mov,7.064494680851063e-05
clip001.mov,0.007029172207446807
clip002.mov,0.11146595190602834
clip003.mov,0.12013761912677311
clip004.mov,0.19428537788120576
clip005.mov,1.1730887771498228
clip006.mov,0.06801930961879431
clip007.mov,0.43217046210106386
clip008.mov,0.033615220523049646
clip009.mov,0.9325309591090427
clip010.mov,0.7170579842641845
clip011.mov,0.7062493074024823
clip012.mov,1.1739482906693262
clip013.mov,0.10808088153812054
clip014.mov,0.23587759031471628
clip015.mov,2.041815575132979
clip016.mov,1.9676207197473405
clip017.mov,1.9088264627659581
clip018.mov,5.577812984818262
clip019.mov,2.476240788453014
clip020.mov,2.99671436254529
clip021.mov,1.9672910433289015
clip022.mov,0.22801245290336877
clip023.mov,1.034842503324468
clip024.mov,0.7664917857934392
clip025.mov,0.054290641622340416
clip026.mov,0.2929704814937944
clip027.mov,0.09096714317375884
clip028.mov,0.4183417137632979
clip029.mov,0.03565803690159574
clip030.mov,0.005716353612588653
clip031.mov,0.4137380180629433
clip032.mov,0.24009273880762413
clip033.mov,0.28558219747340424
clip034.mov,0.7526748116134753
clip035.mov,0.05833506482712766
clip036.mov,0.20003116688829795
clip037.mov,0.09844373337765955
clip038.mov,0.07282905308067374
clip039.mov,0.11957245955230497
clip040.mov,0.15856847019060286
clip041.mov,0.21981431159420292
clip042.mov,0.20032552083333335
clip043.mov,0.00687022107712766
clip044.mov,0.03476908798758865
clip045.mov,0.35718673814273044
clip046.mov,0.1912299839317376
clip047.mov,0.6666704759530142
clip048.mov,0.8213711353058512
clip049.mov,2.9461238779920205
clip050.mov,0.6335909796099292
clip051.mov,0.2200531222296099
clip052.mov,0.196687306072695
clip053.mov,0.16061717364804967
clip054.mov,0.5724772135416667
clip055.mov,0.8831913508421988
clip056.mov,1.7242665392287233
clip057.mov,0.5650477199689716
clip058.mov,0.5504595384530143
clip059.mov,0.7420957308289008
clip060.mov,0.3786215924202128
clip061.mov,1.5712024878102835
clip062.mov,0.8730436905570649
clip063.mov,2.15513595689273
clip064.mov,1.9822030141843974
clip065.mov,2.365016206781915
clip066.mov,2.5018083721187945
clip067.mov,2.667158757203014
clip068.mov,3.1838735593971634
clip069.mov,2.857499792220745
clip070.mov,2.331654130651597
clip071.mov,1.0257175310283684
clip072.mov,0.00218999335106383
clip073.mov,5.019146858377661
clip074.mov,12.013520542442379
clip075.mov,21.034191461657805
clip076.mov,9.708240525265959
clip077.mov,30.506972379210993
clip078.mov,22.338815242686174
clip079.mov,34.88635271221188
clip080.mov,34.26587814439274
clip081.mov,13.056340037677302
clip082.mov,25.8295822251773
clip083.mov,38.70150836447011
clip084.mov,28.856052956006202
clip085.mov,25.446162663453013
clip086.mov,49.584528410350174
clip087.mov,37.97986549756206
clip088.mov,22.815868794326242
clip089.mov,22.39207564550088
clip090.mov,32.51861078789894
clip091.mov,13.298222448470742
clip092.mov,39.3166150681516
clip093.mov,34.58826047207446
clip094.mov,23.889212793661354
clip095.mov,1.4858339566710992
clip096.mov,21.600616758089533
clip097.mov,40.06609319592198
clip098.mov,35.300314439273045
clip099.mov,3.7778444980053187
clip100.mov,1.403438400376773
clip101.mov,0.730309798869681
clip102.mov,0.4709368766622341
clip103.mov,0.38346665835549637
clip104.mov,0.8073351873867753
clip105.mov,0.4783428219193263
clip106.mov,0.3425161375221631
clip107.mov,0.3251374806072695
clip108.mov,2.1574319176640078
clip109.mov,1.3982224484707446
clip110.mov,1.321502036236702
clip111.mov,0.6727518284574467
clip112.mov,4.3776671930407804
clip113.mov,3.0750214705230503
clip114.mov,4.144250401706559
clip115.mov,0.05399040059840425
clip116.mov,0.6392072528812057
clip117.mov,3.0965917276152477
clip118.mov,1.1728532939937941
clip119.mov,1.2696192098847519
clip120.mov,1.0553354249778368
clip121.mov,0.8720824329565606
clip122.mov,1.644243475731383
clip123.mov,1.9259166528147162
clip124.mov,0.9240123559397165
clip125.mov,2.4111664260643115
clip126.mov,2.7544288148271274
clip127.mov,1.764922706117021
clip128.mov,4.653677000221631
clip129.mov,2.3183375581781913
clip130.mov,6.526598168772162
clip131.mov,7.496700465425533
clip132.mov,4.574513450243794
clip133.mov,3.1663948221409575
clip134.mov,3.2805629432624093
clip135.mov,2.5209001689937947
clip136.mov,5.798219331781915
clip137.mov,4.059046708776595
clip138.mov,4.583149794991134
clip139.mov,8.380003670766843
clip140.mov,2.17654726285461
clip141.mov,1.1508944896941489
clip142.mov,3.0920763380984044
clip143.mov,3.9279296875
clip144.mov,2.1203492076684403
clip145.mov,4.014017210144927
clip146.mov,4.9145216921542545
clip147.mov,2.458850357380319
clip148.mov,2.085368184840426
clip149.mov,4.349762439051418
clip150.mov,2.0543491661125883
clip151.mov,2.269380610039894
clip152.mov,2.064068733377659
clip153.mov,5.016515334109043
clip154.mov,3.251357144835993
clip155.mov,1.3528860538563834
clip156.mov,1.379607504986702
clip157.mov,6.7399812306072695
clip158.mov,11.824763131648934
clip159.mov,1.2391300282579785
clip160.mov,0.5695866578014184
clip161.mov,4.644499044215427
clip162.mov,0.957798301750887
clip163.mov,0.9329489417109926
clip164.mov,0.2590020362367021
clip165.mov,0.4778424202127661
clip166.mov,0.7668117357336959
clip167.mov,1.5147866107047872
clip168.mov,1.6781295018838656
clip169.mov,2.831361161901596
clip170.mov,2.4093988946143616
clip171.mov,0.4249705646054963
clip172.mov,0.5995401152482269
clip173.mov,0.8837800587322693
clip174.mov,1.1776218279033686
clip175.mov,1.3776647689494679
clip176.mov,1.699687984818263
clip177.mov,1.7593182070035462
clip178.mov,1.4995390763519503
clip179.mov,1.2932970412234044
clip180.mov,1.1597839788342201
clip181.mov,0.5449551196808511
clip182.mov,0.0381306100398936
clip183.mov,0.7019635139627659
clip184.mov,0.516167303856383
clip185.mov,1.6473224179964538
clip186.mov,1.1068120428856383
clip187.mov,0.6831302366394927
clip188.mov,0.48136289339539
clip189.mov,0.24496135305851052
clip190.mov,0.3247960300310283
clip191.mov,0.1670576379654255
clip192.mov,0.4434618794326241
clip193.mov,0.033868364915780144
clip194.mov,1.0909169298537236
clip195.mov,0.48194571420656035
clip196.mov,0.42740781527039007
clip197.mov,0.32627368683510644
clip198.mov,0.3812177942154255
clip199.mov,1.542332252881206
clip200.mov,0.3050743157136525
clip201.mov,8.12745976008422
clip202.mov,8.160715868794327
clip203.mov,10.31049458388741
clip204.mov,8.187661028922872
clip205.mov,10.167732920545216
clip206.mov,35.950200853280144
clip207.mov,32.07281762522163
clip208.mov,37.522472613790754
clip209.mov,24.487104526817383
clip210.mov,10.508983336103721
clip211.mov,12.157742201351953
clip212.mov,4.556593182070034
clip213.mov,6.841297858488477
clip214.mov,12.180531083776595
clip215.mov,1.70406208444149
clip216.mov,10.653517010195035
clip217.mov,11.03819640680408
clip218.mov,0.15148042719414898
clip219.mov,6.78581213984929
clip220.mov,7.8594092835771265
clip221.mov,0.5061945921985816
clip222.mov,1.8496554327349293
clip223.mov,7.0762688386524815
clip224.mov,4.543017578125001
