Clip_Filename,Average_Pitch_Hz,Average_Amplitude
clip000.mov,317.0903015136719,0.018477879464626312
clip001.mov,325.0210266113281,0.017256656661629677
clip002.mov,488.4693908691406,0.04171881824731827
clip003.mov,311.84600830078125,0.033070679754018784
clip004.mov,358.0774841308594,0.027984019368886948
clip005.mov,269.4188537597656,0.04266377165913582
clip006.mov,401.9058532714844,0.04272718355059624
clip007.mov,723.1200561523438,0.08375946432352066
clip008.mov,990.4717407226562,0.029890114441514015
clip009.mov,701.9412841796875,0.07595173269510269
clip010.mov,249.17153930664062,0.030497683212161064
clip011.mov,355.6665344238281,0.05164171755313873
clip012.mov,845.7431640625,0.032182883471250534
clip013.mov,1109.9530029296875,0.041876133531332016
clip014.mov,937.0491943359375,0.04993365332484245
clip015.mov,604.5114135742188,0.0643380731344223
clip016.mov,591.7235717773438,0.07917443662881851
clip017.mov,944.8551635742188,0.10265517234802246
clip018.mov,1103.2147216796875,0.07226251065731049
clip019.mov,842.3619995117188,0.07009676843881607
clip020.mov,675.2867431640625,0.05386684462428093
clip021.mov,1400.588134765625,0.07919260114431381
clip022.mov,1807.9278564453125,0.06963440775871277
clip023.mov,1544.445556640625,0.058487191796302795
clip024.mov,839.09375,0.023857275024056435
clip025.mov,759.0726318359375,0.01776038110256195
clip026.mov,438.8509216308594,0.00286362087354064
clip027.mov,376.65203857421875,0.005278952419757843
clip028.mov,400.5863952636719,0.006281670648604631
clip029.mov,332.4367370605469,0.007883512414991856
clip030.mov,269.9997863769531,0.007177912630140781
clip031.mov,266.9886779785156,0.007808629889041185
clip032.mov,195.8835906982422,0.009090228006243706
clip033.mov,456.5609436035156,0.005502716172486544
clip034.mov,299.7498779296875,0.01203216053545475
clip035.mov,268.93328857421875,0.0060237981379032135
clip036.mov,308.7266540527344,0.006061316933482885
clip037.mov,265.3341064453125,0.032990071922540665
clip038.mov,344.4367370605469,0.003837252501398325
clip039.mov,219.46214294433594,0.007110921200364828
clip040.mov,224.8540496826172,0.007839660160243511
clip041.mov,235.33607482910156,0.008556215092539787
clip042.mov,183.62196350097656,0.009804822504520416
clip043.mov,249.6578826904297,0.006594089791178703
clip044.mov,283.93438720703125,0.012320751324295998
clip045.mov,272.1725158691406,0.01521964743733406
clip046.mov,284.6677551269531,0.017744848504662514
clip047.mov,186.3085479736328,0.007198361214250326
clip048.mov,467.4306640625,0.0032124468125402927
clip049.mov,365.9258728027344,0.00590967433527112
clip050.mov,758.2408447265625,0.005296400748193264
clip051.mov,404.61492919921875,0.0035026161931455135
clip052.mov,753.852294921875,0.012442155741155148
clip053.mov,654.8728637695312,0.007841839455068111
clip054.mov,618.5127563476562,0.0053405254147946835
clip055.mov,408.2992248535156,0.007722336798906326
clip056.mov,404.4505310058594,0.002549738623201847
clip057.mov,466.67242431640625,0.017304372042417526
clip058.mov,331.026611328125,0.008337235078215599
clip059.mov,385.1390075683594,0.0014544238802045584
clip060.mov,389.5895690917969,0.0018111357931047678
clip061.mov,515.924072265625,0.026182066649198532
clip062.mov,331.4292907714844,0.015789328143000603
clip063.mov,410.01226806640625,0.017981233075261116
clip064.mov,391.3414001464844,0.03741053491830826
clip065.mov,808.0642700195312,0.0550525039434433
clip066.mov,719.1812133789062,0.05593695119023323
clip067.mov,528.8746948242188,0.047778841108083725
clip068.mov,883.1495971679688,0.04869034141302109
clip069.mov,799.337646484375,0.05506496876478195
clip070.mov,598.1251220703125,0.04563342407345772
clip071.mov,400.5672607421875,0.01422409899532795
clip072.mov,366.0404968261719,0.01613016426563263
