Clip_Filename,Average_H,Average_S,Average_V
clip000.mov,94.27329587583183,202.66457851833763,9.525046183268227
clip001.mov,98.43274603949654,227.11258058901197,12.223042851200809
clip002.mov,96.32285194679547,211.88629136827254,11.982572202329282
clip003.mov,92.07893059624566,160.63602787724247,12.836753720883971
clip004.mov,96.59509148491752,198.18016958731187,14.246498458297161
clip005.mov,98.26251191315829,212.90708364981194,19.70546174225984
clip006.mov,97.80207429108799,207.39762415002897,18.72153856065538
clip007.mov,96.5118337221499,198.33331264919704,16.930754914460362
clip008.mov,98.86377206307868,201.7627349853515,13.493793900101274
clip009.mov,99.48657115794994,208.76139112684461,15.680208491572627
clip010.mov,97.49934959129052,197.256067730939,14.135774603949654
clip011.mov,101.24816137243204,186.62851368091722,20.322256447120946
clip012.mov,101.74199770326966,171.31577776873553,15.900259263780383
clip013.mov,86.89842793782555,193.9404859528718,13.082001772280092
clip014.mov,101.4961665626808,207.35605656376597,20.807039794921874
clip015.mov,97.2993660933883,152.89938745569302,21.629245628074358
clip016.mov,89.83743993688513,190.41463315610534,17.853108814380786
clip017.mov,95.66979826750578,196.28883318865743,17.421281580041956
clip018.mov,93.67933767813224,175.45523659035015,27.645020571108216
clip019.mov,95.61369873046873,192.21206271701394,20.73184197319878
clip020.mov,96.6268885979979,167.3344820294031,23.025381551972515
clip021.mov,97.86062120225695,187.7749373372396,21.01416467737268
clip022.mov,98.14685112847224,203.38274976942265,25.87698099772135
clip023.mov,100.49717278374563,167.3917620171441,31.05869231047453
clip024.mov,98.92490204987705,194.58123291015625,24.09961579499421
clip025.mov,86.78286548755788,172.66164971245658,19.476502730758103
clip026.mov,19.306833111798326,151.40663497359668,21.020928729021993
clip027.mov,18.09070816605179,154.71333516438804,24.097988371672454
clip028.mov,18.6667709463614,148.08282977068862,21.762084554036463
clip029.mov,18.447153207284433,147.67585944281683,22.62901208948206
clip030.mov,18.611984795464416,146.77095280400027,22.11421832049334
clip031.mov,18.95767860695168,145.0935191514757,20.768370587384258
clip032.mov,30.555893916377315,152.9706369357639,19.516833541304976
clip033.mov,35.134492933485255,154.94013567889178,19.656055908203125
clip034.mov,19.540828043619793,194.75571413393376,26.779034129955154
clip035.mov,23.44818834092882,207.7252331995081,10.956879453305843
clip036.mov,28.20536928530093,194.77399674027052,15.718114397967303
clip037.mov,28.7949861879702,195.63440047652645,16.04611475061487
clip038.mov,28.321376727068866,195.99936182092736,15.855862856264471
clip039.mov,27.911534265588838,197.2655460385923,16.19554285120081
clip040.mov,27.769666951497396,198.41112555609809,16.142289677372688
clip041.mov,24.86545972314568,204.4979634862589,17.60106279089096
clip042.mov,29.60117485894097,235.0181986264829,14.55388624403212
clip043.mov,30.111823278356493,241.69815599229602,13.660723831741898
clip044.mov,28.2935199878834,240.82880707917388,14.265531593605326
clip045.mov,24.6531029595269,210.17238891601562,18.199795351381656
clip046.mov,20.826995623553245,163.0169088632089,25.50206965693722
clip047.mov,19.932575660988142,167.16973999023435,27.148062043366604
clip048.mov,17.42460747612847,179.72134261519818,32.33649884259258
clip049.mov,22.373454295970774,176.71852674696183,28.176161182544845
clip050.mov,25.722752640335646,180.19549268934463,21.75836301450376
clip051.mov,33.10201006854022,189.1670993607133,17.773475726092304
clip052.mov,41.06267593948929,194.1043467203776,18.079802381727422
clip053.mov,31.638866916232644,193.89845117639615,22.791168619791666
clip054.mov,33.01061315465857,191.1653481942636,25.088830521195025
clip055.mov,25.70112677680122,189.05148916739006,29.42692217791522
clip056.mov,27.453752011899596,189.43332377115883,25.94165581597223
clip057.mov,27.308663827401613,187.28526606807006,33.890869004991316
clip058.mov,25.457481847692417,188.90807047526042,34.170071049443
clip059.mov,27.851915531864872,191.77969545717596,28.40475002712674
clip060.mov,37.369021131727436,187.31764078776044,23.277563521773725
clip061.mov,30.788437206127032,187.79402174207902,22.331450511791086
clip062.mov,21.550200414635054,195.13905499686015,25.03752989712618
clip063.mov,24.489760493525754,205.20943513093175,21.961321049442997
clip064.mov,24.71847204137731,209.91112863046158,24.26899768970631
clip065.mov,26.11935117368344,198.8021782543041,26.129644074616603
clip066.mov,23.89601320619936,222.26445884422017,21.676558611834484
clip067.mov,26.175336348922162,182.79267582646128,21.409521574797456
clip068.mov,33.16787283438223,173.6138285997179,19.125270996093747
clip069.mov,26.64368365252459,207.4258469645182,22.56661618833189
clip070.mov,23.211914921513312,213.25316797327125,21.957997391312215
clip071.mov,38.09803245261863,115.91604553222659,39.46145699960214
clip072.mov,68.94742379647714,64.79388240107784,88.15616945619938
clip073.mov,74.86818280255353,83.0519908537688,95.86489167390044
clip074.mov,99.03588349518952,109.78764503761572,114.57538465711802
clip075.mov,99.23026873553242,111.09483339662906,106.82182110821755
clip076.mov,98.88328852900757,103.16453224464698,98.11292557327839
clip077.mov,97.88107514558017,108.31617234971792,104.31229383680557
clip078.mov,98.8327466950593,109.44080916793256,105.58814945927371
clip079.mov,97.5965417932581,109.53097274215129,89.12858066134983
clip080.mov,98.11568164966722,108.38259458188656,92.72839197229455
clip081.mov,92.68052194100841,89.48371193214699,90.83594859935619
clip082.mov,94.96369208441843,89.12497214988427,101.23593001754195
clip083.mov,98.56389722314569,98.02706992002808,122.99147844174786
clip084.mov,98.58243819625288,97.2695014105903,130.30290192780672
clip085.mov,98.65830679434316,109.4685079164858,113.02231476960361
clip086.mov,98.51397917570893,99.64658284505207,125.24142397280097
clip087.mov,99.15360150372544,100.55290210865162,124.5187321189598
clip088.mov,98.08715666594328,121.83424447518804,85.65692206488715
clip089.mov,99.17222828052665,137.5218957519531,83.21988188566985
clip090.mov,98.24392731843172,108.41937255859374,102.49621233904803
clip091.mov,99.12210964626733,87.5066293447989,152.07920561613858
clip092.mov,97.83553674768518,105.15913169578268,103.71555126048901
clip093.mov,98.07811955204716,111.72340261953845,99.65277183250146
clip094.mov,97.592159604673,121.78258289478443,74.217989976671
clip095.mov,97.70431706181279,124.71377332899306,53.04739128960503
clip096.mov,96.18037789803964,135.92810791015623,60.690847529658576
clip097.mov,98.03447240758821,124.81938634801794,70.3906143301505
clip098.mov,96.86798371491604,114.3879743335865,71.84752619990597
clip099.mov,66.68482957628036,94.1220123743128,23.591133196795425
clip100.mov,54.8366738100405,109.44749778464988,25.7649616156684
clip101.mov,19.342780671296296,176.99210964626732,29.45653474030672
clip102.mov,43.722597113715274,153.2480274567781,22.883514585141782
clip103.mov,83.3456459101924,150.22424357096358,29.48289184570312
clip104.mov,81.49108331486407,121.95429548980493,21.661782722924055
clip105.mov,77.40118808322482,99.61441055862991,14.707688666449654
clip106.mov,73.31250350387009,96.9963235586661,15.531726955837671
clip107.mov,72.70864384403934,96.67668009440104,15.509264729817703
clip108.mov,74.18362216525608,93.22304366500292,32.92412615740741
clip109.mov,77.82734209979023,89.80628087926793,41.98499525282117
clip110.mov,84.21148310908565,85.84911266185618,46.99593433521411
clip111.mov,89.31101356788918,92.26544153284145,50.97094670048466
clip112.mov,55.63956651475693,118.70833923339849,38.60356149178965
clip113.mov,35.424016881872106,117.41778030960648,33.36187050148292
clip114.mov,57.90728138111256,144.6937931089048,35.11530248571326
clip115.mov,98.97250897442858,193.07025600857204,30.66061297381366
clip116.mov,73.4320721435547,178.5024941225405,25.27505307798032
clip117.mov,46.036303123191544,143.5209825981988,19.95559398509838
clip118.mov,31.30780047381366,120.61500054253473,20.053496884946465
clip119.mov,80.93823929398151,177.1922419569228,39.60283695927371
clip120.mov,50.38868306477863,124.16554441098815,18.85280877007379
clip121.mov,47.49898952907986,146.666320642542,22.21501880787037
clip122.mov,46.13599650065104,141.261586416739,18.623778550889757
clip123.mov,29.00959694191262,165.9979900444878,18.392357087311918
clip124.mov,41.96689168294271,85.56325263129342,19.143763269495082
clip125.mov,33.13147423998965,121.30190425070181,19.703767314937938
clip126.mov,30.21617598922164,142.34892184787324,22.822425830982343
clip127.mov,34.28312454788773,144.50774298773874,23.93353190104166
clip128.mov,66.69900677716291,156.59363378454137,32.26525191695601
clip129.mov,88.51692310474539,122.6958135986328,18.514492074471935
clip130.mov,81.0721199770327,122.0357264992043,22.9896789098669
clip131.mov,70.5569108977141,129.90313707139754,19.22462651005497
clip132.mov,70.4338410554109,161.34248688874425,14.419010552300348
clip133.mov,55.748845486111115,159.43994059244793,11.961796988028068
clip134.mov,52.08168983742044,157.3128081823278,14.206316641348375
clip135.mov,55.96391436541523,164.4005997495298,13.938329399956595
clip136.mov,40.47423970540364,152.76973160355178,21.518639481155958
clip137.mov,39.970560664424205,160.79997434262876,21.06311277036313
clip138.mov,44.95820482042101,155.41816309045865,16.697625257703987
clip139.mov,74.28875773111979,145.66464515968605,19.983613394278066
