5	5	5	6	5.5	6	6	6.5	6.5	6.5	6.5	6.5	6.5	7	6.666666667	6.25	6.25	5.5	5	4.5	5	5	5	5	5	5.333333333	5	5	5.5	5	5	3.714285714	3.5	3.666666667	4.333333333	3	5	5.5	5	6.25	6.5	7	6.666666667	7	6	7	7	6.5	7	6	4.75	4	0	3	0	0	0	0	4.333333333	5	6	5.5	6	6	5.666666667	4.5	4.5	6	6	5	6	7	7	7	7	7	8	8	8	4.5	5	5	4.5	5	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5.25	0	0	0	4	4	3.333333333	3.75	3	3.75	3	3.75	3.75	3.666666667	3.75	4	4	3.75	3.75	3.333333333	4	4	5	5.5	5.5	5.2	5.2	5.333333333	5	4.75	4.833333333	4.833333333	5	5	4.75	4.75	4.75	4.571428571	4.5	4.166666667	3.8	4.222222222	4.333333333	4.666666667	4.5	4.666666667	5	4.666666667	4	4.5	4.6	4.6	4	3.5	3	3.8	3	3	4.375	3.333333333	4.8	4	4	5	5	5	6	5	4.5	4	3.5	3.5	3.5	3	3	2.5	3	4.25	4	4	4	4.25	4.25	4	4.333333333	4.25	4	4	4	4	4	4	4	4
5	5	5	6	6	6	6.5	6.5	7	7	6.5	5	5	7	6.333333333	6	6	4.5	4.5	4	4	4.75	4.75	5	5	4.666666667	4.5	5	6	6	5.666666667	3.428571429	2.666666667	3.333333333	4	3	5	5.5	5	5.5	6	6.5	6.333333333	6.666666667	5	6	6	6.5	8	6.5	4.75	4	0	3	0	0	0	0	4.333333333	4.5	4.333333333	4.25	4.75	4.5	4.333333333	4	4.5	5	5	4.6	7	7	7	7	8	8	8	8	8	5	5.5	5	4	4.5	6	6	6	6	6	6.5	6	6	6	7	7	7	6	5	5	5	5	5	0	0	0	4	4	4.666666667	4.25	5	4.25	3	4	4.75	4.333333333	4.25	4	3.5	4.25	4.25	4	4.333333333	4.333333333	5.166666667	6	5	4.8	5.2	5.166666667	4.75	4.5	4	4.166666667	3.833333333	3.833333333	4	4	4	4	3.75	3.666666667	4.2	4.111111111	5	5.333333333	5.25	4.833333333	5.4	4.666666667	4.333333333	4.5	4.75	3.75	3	2.5	2.5	3.25	2.5	2	3.625	2.666666667	4.4	4.2	3.666666667	5	5	4.5	5	3.5	2	2	2	2	2	2	1	1	1	4	4.666666667	3.5	2	2.75	2.75	2	2.666666667	2.5	2.5	2.5	2.5	2.5	2.5	3	3	3
5	5	0	0	5	0	7	7	7	7	7	7	7	9	8.333333333	7	7	3.5	3.5	2.5	0	4.75	4.75	5.666666667	5.666666667	6.333333333	5	4	4	3	3.666666667	2.285714286	1.333333333	1	1	1.666666667	5	6.5	0	6.5	0	7	7	6.666666667	0	0	7	7	7	6	3	3	0	6	0	0	0	0	5	4	4	4	4	5	3.333333333	0	3	6	6	2.4	6	7	7	7	8	8	8	8	8	6	6	6	4	5	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	5	0	0	0	3	3	2	2.25	2	2.5	1.5	2.5	2.5	2	2.5	2	2	2.5	2.5	2	2.666666667	2.666666667	7.333333333	7	6	5.8	5.4	5.5	5	4.75	4	3.833333333	3.833333333	3.833333333	3.75	3.75	3.75	3.857142857	3.75	3.5	3.8	3.777777778	4.666666667	5.666666667	5.25	4.666666667	5.8	4.5	5.333333333	6	4.5	3.25	2	1	1	2.75	1	1	3.25	2	3	3.2	4.333333333	5	5	5	6	3	2	2	2	2	1	1	1	1	1	3.25	3.333333333	2	2	2.5	2.5	1	2.333333333	2.5	1	1	1	1	1	1	1	1
5	5	5	5	5	6	7	7	7.5	7	7	6.5	6.5	6	5.666666667	5.25	5.5	4.5	5	4	5	5	5	4.666666667	4.666666667	5	5	4.5	5	5	4.666666667	4.285714286	2.5	3	3.333333333	3.333333333	5	5.75	5	6.25	6.5	7	6	6	6	6	6	5.5	7	6	5	3	0	3	0	0	0	0	5	5	5	5	5	5	4.666666667	4.5	4	5	5	5	6	6	6	6	6	7	7	7	7	5	5	5	5	5	5.5	5.5	5.5	5.5	5.5	5.5	6	6	6	6	6	6	6	6	6	6	6	5.25	0	0	0	4	4	4	3.75	3	3.75	2.75	3.75	4	3.666666667	4	4.5	4.5	4	4	3.666666667	4.333333333	4.333333333	5	5.5	5.5	5	5	5.166666667	5	4.75	4.833333333	4.833333333	5	5.166666667	4.75	4.5	4.25	4.285714286	4.25	3.666666667	3.6	4	3.666666667	4.333333333	4.5	4.5	5	4.333333333	4	5	4.5	4.5	3.5	3.5	3	3.75	3	3	4.375	3.333333333	4.8	4.8	5	5	5	5	5.5	5	4.5	4	3.5	3.5	3.5	3	3	2.5	3	4.5	3.666666667	3	3	3.75	3.75	3	3.666666667	3.75	3	3	3	3	3	3	3.5	3.5
5	5.5	5	7	5	6	7	7	8	7.5	7	6.5	6.5	7	6	5.5	5.5	4.5	4.5	4	4	5	5	5	5	5	4.5	4	5	5.5	5	3.285714286	2	3.666666667	3	2.333333333	5	5.75	5	6.25	6.5	7	6	6	6	6	6	5.5	7	6	4	3	0	3	0	0	0	0	5	4	4	4	5	5	4.333333333	4.5	4.5	6	6	5	6	6	6	6	6	7	7	7	7	5	5	5	5	5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	6	6	6	6	6	6	6	6	6	6	4.25	0	0	0	4	4	3.333333333	3.75	3	3.75	3.5	3.75	3.75	3.666666667	3.75	4	4	3.75	3.75	3.333333333	4	4	5	5.5	5.5	5	5	5.166666667	5	4.75	4.833333333	4.833333333	5	5.166666667	4.75	4.5	4.25	4.285714286	4.25	4	4	4.222222222	3.666666667	4.333333333	4.5	4.5	5	4.333333333	4	5	4.5	4.5	3.5	3.5	3.5	4	3.5	3.5	4.5	3.666666667	4.8	4.8	5	5	5	5	5.5	5	4.5	4	3.5	3.5	3.5	3	3	2.5	3	4.5	3.666666667	3	3	3.75	3.75	3	3.666666667	3.75	3	3	3	3	3	3	3.5	3.5
2	2	2	1	2	1	1	2.5	4	4.5	5	6	7	8	7.333333333	6	6.25	4.5	4	3.5	3	4.75	4.75	5.666666667	5.666666667	5.333333333	4.5	3.5	5	3.5	4	2.571428571	2	1.333333333	1.666666667	1	3.5	3.5	3	2.75	2	2	2	2	2	1	2	3	4.5	5	3	2	0	3	0	0	0	0	3.333333333	3.5	3.333333333	4	4	4	3.666666667	2.5	3	4	4	4	5	6	6	6	6	7	7	5	5	3	2	1.5	4	1.5	3	3	3	2	2	2	2	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	2.5	4	0	0	0	3	3	4.666666667	4	5	4	4	4	3.5	4	4	4	4	4.25	4.25	4.333333333	4	4	5.5	7	5	5	5	5	4.25	4	4	3.833333333	3.833333333	3.833333333	4.25	4.25	4	4.428571429	4	4.833333333	4.2	3.777777778	2.333333333	2.666666667	2.5	3.333333333	3	2.666666667	2	1.5	3.75	5	4	3.5	3	3.5	2.5	2.5	3.875	3	5.2	5.2	4.666666667	4	4.5	5	6	4.5	3	2.5	2.5	2.5	2.5	2.5	2.5	2	3	3.75	3.333333333	3	2.5	3.25	3.25	3.5	3.666666667	3.75	3	3	3	3	3.5	4	4	4
2	2	2	3	2	3	2	2	1.5	3.5	3.5	5	5	7	7	6.75	6.25	4.5	4	3.5	4	4.75	4.75	5	5	5	5	4.5	5	4	4.666666667	2.857142857	2	1.333333333	1.666666667	1.333333333	4.5	3.5	3	3	3	3	3	2	2	2	2.5	3.5	4	5	3.5	3	0	3	0	0	0	0	3.666666667	4	3	3.5	4	4	4	3	3	4	4	4	4	5	6	6	6	6	6	6	4	3	3	2	4	2	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	1.5	1.5	1.5	1.5	1.5	1.5	2.5	3.25	0	0	0	4	4	4	4.5	5	3.5	4.25	4	4	4.333333333	4	4	4	4.25	4.25	4.333333333	4	4	5.333333333	7	7	5	5.4	5.333333333	5.25	4.5	4.666666667	4.333333333	4.333333333	4.333333333	4.5	4.5	4.25	4.142857143	4.25	4	3.8	3.888888889	3.333333333	3.333333333	3.25	3.666666667	3.8	3.5	3	2.5	4	4.5	5	4.5	4	4.25	3	3	4.375	3.333333333	3.8	3.8	3.333333333	4	4.5	5	5	5	4	4	3	3	2.5	2.5	2.5	2.5	3	3	3	3	3	3.5	4	4	3.333333333	3.5	2.5	3	3.5	3	3	3	3.5	3.5
2.5	2	1	1	1.5	2	1.5	3	5.5	6	7	7	7	8	7.333333333	6.25	6	4	4	4.5	2	4.75	3.75	5.666666667	5.666666667	5.333333333	4.5	4	4.5	4	3.333333333	2.428571429	1.833333333	1.333333333	1.666666667	1	4	3.75	1	2.75	2	2	1.666666667	2	1	3	2.5	3.5	5	5	3.5	2	0	3	0	0	0	0	3.333333333	3	3.666666667	3.5	4	3	3	3	4	5	5	4.4	6	6	6	6	6	6	6	5	5	4	2	2	4	2	2	2	2	2	2.5	2.5	2.5	2	2	2	1.5	1.5	1.5	1.5	1.5	1.5	2	3	0	0	0	3	3	4.333333333	4.25	5	4	3.75	4	4	4.333333333	3.5	4	4	4	4	4.333333333	3.666666667	3.666666667	5.666666667	7	5	5	5	5	4.75	4.75	4.833333333	4.5	4.5	4.5	4.75	4.5	4.25	4.142857143	4	4.166666667	4.2	4.333333333	3.333333333	3	3	3.5	3.8	2.833333333	2.666666667	2.5	4	4.5	4	3.5	3	3.75	2.5	2	4.125	2.666666667	4.8	4.8	3.333333333	4	4.5	5	6	4	3	3	3	3	2.5	2.5	3	3	3	3	3	2	2	2.75	3.25	2.5	3	3.25	2.5	3	3	3	3	3	3	3
