camera_cuts_regressors,scene_cuts_regressors
0.0,0.0
0.0,0.0
0.0191303519821523,0.0
0.2551052154855969,0.0
0.6437277151964776,0.0
0.7320737881661148,0.0
0.7019861942262966,0.0
0.8395227102443199,0.0
0.9857490287523936,0.0
1.0567906417812978,0.0
1.0741721324511726,0.0
1.0667759029936106,0.0
1.0500835232365415,0.0
1.0325256179173936,0.0
1.018573842324082,0.0
1.0094337529230994,0.0
1.0042923574254008,0.0
1.001743777739173,0.0
1.0006925926233965,0.0
1.0002529947302612,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9808696480178478,0.0
0.7640251364965555,0.0191303519821523
0.5731167963248146,0.2359748635034446
0.4397042000234737,0.4077528516930331
0.1954515385715996,0.3051905844909294
-0.0030229004854788,0.1416903942497703
-0.0924651741862444,0.0349742488159194
-0.08990841034815,-0.0172738717330852
0.1434020703804104,-0.0356745324049468
0.3609152032073919,-0.0348666298791297
0.5192820164896907,-0.0257968901294236
0.7819352564091787,-0.0158844772312517
0.9727150178410544,-0.008488165569442
0.8323750086518507,-0.0040393626951397
0.4441839226822385,-0.0017437777391729
0.1238315488300785,-0.0006925926233961
-0.0440240401817973,-0.000252994730261
-0.0845691592662613,0.0
0.1311486455205023,0.0
0.3271654917580881,0.0
0.2724076258037913,0.0
0.3485606596339852,0.0
0.4282027997749368,0.0
0.3005713316822876,0.0
0.3584317122375903,0.0
0.6620200987617624,0.0
0.9247248950767896,0.0
1.0581800362831313,0.0
1.1013584992866774,0.0
1.0976031701776003,0.0
1.0741366356267923,0.0
1.047717502525249,0.0
1.026809013163263,0.0
0.9943427636360868,0.0
0.7700612716611291,0.0
0.5946835186695361,0.0
0.6957550028627278,0.0
0.8585626004804907,0.0
0.9650257511840804,0.0
1.0172738717330854,0.0
1.035674532404947,0.0
1.0348666298791298,0.0
1.0257968901294237,0.0
1.015884477231252,0.0
1.008488165569442,0.0
1.0040393626951398,0.0
1.001743777739173,0.0191303519821523
0.981562240641244,0.2359748635034446
0.7642781312268165,0.4077528516930331
0.5731167963248146,0.3051905844909294
0.458834552005626,0.1416903942497703
0.4505567540571965,0.0349742488159194
0.6598351666931511,-0.0172738717330852
0.875583477483315,-0.0356745324049468
1.0007002835890275,-0.0348666298791297
1.0521405016122152,-0.0257968901294236
1.0614714225343704,-0.0158844772312517
1.0507511071103814,-0.008488165569442
